Formula,Energy,sigma bond length,Bond length,O sigma,Cation sigma,DeltaH,T/K
"['Zr', 'Pb', 'Ce', 'Ir']",-5800.28770168672,0.1286652315610604,2.1671175442845545,0.5931703542013275,0.0846808265255739,0.2867142554512378,2400.054425740605
"['Pb', 'Ce', 'Rh', 'Pt']",-4976.753975859177,0.120648370730424,2.1441875059437727,0.4757997705380459,0.0546500135221516,0.2875136055677272,2406.7457002354054
"['Ge', 'Ti', 'Zr', 'Ir']",-6057.629127537174,0.0891149760813881,2.014774299384955,0.4084014097368654,0.054877310771236,0.2878966963297129,2409.952512109189
"['Sn', 'Pb', 'Ce', 'Ru']",-5250.067072985707,0.1349462573271922,2.1618797578877595,0.4155537276266525,0.0750703640718239,0.2882143189206081,2412.611296911478
"['Ge', 'Sn', 'Zr', 'Ru']",-5607.392614112481,0.0870490856217432,2.0410549337366484,0.3554678656100299,0.0533314985607345,0.2891742594648852,2420.64685673432
"['Hf', 'Ce', 'Rh', 'V']",-6284.736374830562,0.1316377835817145,2.078348180925803,0.5036113352921672,0.0845518093628492,0.2891836874769717,2420.72577761706
"['Ge', 'Hf', 'Pb', 'Ce']",-5819.64283178491,0.1439395305197918,2.123178393302089,0.5841436250169912,0.0697784921934518,0.2899328863637027,2426.9972415211782
"['Ge', 'Zr', 'Pb', 'Rh']",-5252.363866166942,0.1183326914836462,2.076712037339468,0.5090018516406919,0.0501888745844957,0.2911475199632027,2437.1648097209013
"['Sn', 'Hf', 'Ru', 'Ir']",-5850.198256519705,0.0478445854820702,2.04863166672198,0.4230224027637222,0.0622905959697832,0.2918434099236418,2442.990030293738
"['Ge', 'Ti', 'Hf', 'Ce']",-6514.057283327882,0.1389970043360343,2.039908532493774,0.3239448543937029,0.0695930174076584,0.2935039288267953,2456.890056772252
"['Sn', 'Pb', 'Ce', 'Ir']",-5179.466897740987,0.1224956424787489,2.162662046120708,0.4366478829233389,0.0808528529642415,0.2939130686121549,2460.3149222399747
"['Pb', 'Ce', 'Ir', 'Pt']",-5084.103841692484,0.1282140687956272,2.1473371362831406,0.4254508179423928,0.0875253985491918,0.2943673019475215,2464.1172610010863
"['Ge', 'Zr', 'Rh', 'Ir']",-5574.716965670952,0.0750868351514572,2.0183894241027334,0.4107940006483979,0.0589468253072049,0.2983845575449013,2497.74527876619
"['Pb', 'Ce', 'Ru', 'Pt']",-5152.081703074504,0.1419920661798328,2.147100374490394,0.4015390533877888,0.0922148826448249,0.2989119657821435,2502.1601568195083
"['Zr', 'Pb', 'Ce', 'Rh']",-5687.720338987002,0.1055837049056879,2.155342085402104,0.6450128394317352,0.0570976560930851,0.3002414062058625,2513.288760689182
"['Ge', 'Hf', 'Zr', 'Ir']",-6286.122727967542,0.085253452607062,2.043134982426042,0.5017928650079804,0.061078140329741,0.3006606690977618,2516.7983656011106
"['Ge', 'Sn', 'Hf', 'Ce']",-5992.760391337715,0.1250505991942753,2.100325008910679,0.3837812157506407,0.0573807108416973,0.3022779108752162,2530.336123880215
"['Ti', 'Sn', 'Ce', 'Pt']",-5629.119383961767,0.1126424703126478,2.094852309868916,0.4930229181943548,0.0589995501521356,0.3036844927563855,2542.1104706553824
"['Pb', 'Ce', 'Rh', 'Ir']",-5215.764142609605,0.1316075088157132,2.138800915380985,0.3904308479003024,0.0748625763243136,0.3037811870575471,2542.9198883283248
"['Hf', 'Pb', 'Ce', 'Ir']",-5927.723946679602,0.1233437993426034,2.1585888313811736,0.6421756410701908,0.0836942791198,0.3038930729330387,2543.8564730482885
"['Hf', 'Pb', 'Ce', 'Rh']",-5818.279483030852,0.1038334055120367,2.145613665853153,0.6775887644743528,0.0540029638893052,0.3052213992698194,2554.9757510151303
"['Sn', 'Pb', 'Ce', 'Rh']",-5066.997666845193,0.0984614557015468,2.148288954304338,0.5043709575976832,0.0579152935478493,0.3070568920077052,2570.340464785796
"['Ge', 'Ti', 'Pb', 'Ce']",-5582.148124312846,0.1829067873641245,2.11699149433256,0.4955520025892862,0.0614154609651991,0.3123294879772746,2614.476802799373
"['Ge', 'Ti', 'Ce', 'V']",-6044.47054625065,0.1621690175791419,2.036888546411193,0.2964639640945653,0.0786125788552607,0.312442049082497,2615.419039795333
"['Ge', 'Ti', 'Ru', 'Ir']",-5649.376259718614,0.0460925872704412,1.976535423319734,0.3116233237755077,0.0438469307339758,0.312678534856575,2617.3986369653703
"['Sn', 'Zr', 'Ce', 'Rh']",-5860.467569822626,0.0970451614131899,2.1273584612935994,0.5199880896014636,0.0551135717611892,0.3140330272688691,2628.736948357116
"['Ge', 'Sn', 'Ce', 'V']",-5524.969580385584,0.1486079420621997,2.063472515929527,0.2630313343754063,0.0866966119133575,0.3142006947047466,2630.140474564409
"['Ge', 'Ce', 'Pt', 'V']",-5428.987025115453,0.1494496688153652,2.043570164325957,0.3623311447907453,0.0956988402001813,0.3170748468745898,2654.1996955634754
"['Pb', 'Ce', 'Rh', 'Ru']",-5281.221685997221,0.1378620197181832,2.138002318075446,0.4233609183915044,0.0676525620204908,0.3181708430578087,2663.37416261601
"['Ti', 'Pb', 'Ce', 'Ir']",-5692.291687327232,0.0672958967264767,1.9735357917390448,0.5073554928734826,0.083854849385268,0.318233236579057,2663.8964521218936
"['Zr', 'Ce', 'Ru', 'V']",-6323.047055698976,0.1369251227256162,2.092948656176229,0.4128057881038912,0.0796115536822476,0.3208282354987721,2685.618911063645
"['Ti', 'Pb', 'Ce', 'Ru']",-5760.726575044824,0.1702701395850775,2.132986321392164,0.515387244165355,0.0833572161566583,0.3209926412903483,2686.995134394672
"['Ge', 'Sn', 'Pb', 'Ce']",-5060.853550297367,0.1363771542598785,2.1260441307070743,0.4388681521393787,0.0722240154531724,0.3210944154370683,2687.8470749125117
"['Sn', 'Ce', 'Ru', 'V']",-5702.79155035394,0.1259076012415875,2.0848169683870763,0.3007816130987752,0.0730525216730462,0.3258188510007178,2727.3948206840564
"['Ti', 'Zr', 'Ce', 'Rh']",-6376.468357136346,0.1269283516716095,2.099119927496556,0.5056607264234685,0.0586185028106518,0.3259469541128181,2728.467158160488
"['Ge', 'Hf', 'Ru', 'Ir']",-5877.450368309221,0.0628132245509241,2.0067850325285512,0.4120216923435008,0.0653296608613472,0.3270811476236961,2737.961370965306
"['Hf', 'Ce', 'Rh', 'Pt']",-5893.542085809489,0.0944991749125541,2.1012988550324265,0.5852493335749174,0.0621688433111455,0.3277546443263288,2743.599139967518
"['Zr', 'Ce', 'Rh', 'Pt']",-5761.667218744707,0.1000384979771309,2.109209886258818,0.5787715550823946,0.0623377160171041,0.32791419431289,2744.93471587312
"['Sn', 'Hf', 'Ce', 'Rh']",-5988.4525604939,0.0901457460548479,2.1179088580841507,0.5526537567834744,0.0502594036831896,0.3290683069444506,2754.5956695108125
"['Ge', 'Zr', 'Ce', 'Pt']",-5758.77808004076,0.1381190819318875,2.088375141310834,0.5162958035700496,0.0819228268069798,0.3292369605396015,2756.007450752111
"['Ti', 'Hf', 'Ce', 'Rh']",-6507.389880426369,0.1201734212586749,2.0905759659721523,0.5402582715392887,0.0615671447882699,0.3295114032464115,2758.304781354159
