Formula,sigma bond length_aPbO2,Cation sigma_aPbO2,DeltaH_aPbO2,sigma bond length_bad,Cation sigma_bad,DeltaH_bad,sigma bond length_rut,Cation sigma_rut,DeltaH_rut,rho_aPbO2,rho_bad,rho_rut,Min_rho,Min_Crystal_rho,Min_Crystal_DeltaH,Min_Crystal_sigma
"['Ce', 'Pb', 'Pt', 'Ti']",0.1304720042769236,0.0722899278799346,0.2788329222425538,0.1448152693539902,0.0737793502071975,0.2884617570532022,0.1301334154862007,0.0591536217019231,0.2641109979486664,3.1319035658606222,3.227150512993907,2.852501404685783,2.852501404685783,rut,rut,rut
"['Nb', 'Pb', 'Pt', 'Sn']",0.1244856397554347,0.0917554194012308,0.1986913257037503,0.1076232800393286,0.0890262910058222,0.2057461006968903,0.1050178950779398,0.0941261032440455,0.2011743948989472,2.8631181748087196,2.8592201644604356,2.920845687446683,2.8592201644604356,bad,aPbO2,bad
"['Ce', 'Pb', 'Pt', 'Rh']",0.120648370730424,0.0546500135221516,0.2892697987767603,0.1183974548795559,0.0634015430856903,0.2889135485477636,0.1131636123319702,0.0584571532748648,0.2664899848282003,3.0141616184580133,3.1053710789290023,2.8640840944939887,2.8640840944939887,rut,rut,aPbO2
"['Hf', 'Ir', 'Ru', 'Sn']",0.0478445854820702,0.0622905959697832,0.2918433723851334,0.0475951196459253,0.0566035094782623,0.2977691814983236,0.038155053633272,0.0636739878230455,0.2589106698517289,3.1170944232645517,3.1062511013488656,2.864506775570416,2.864506775570416,rut,rut,bad
"['Ge', 'Nb', 'Pb', 'Zr']",0.1890141832408666,0.0917058615854161,0.2002365250202933,,,,0.1609467798412246,0.0992512748887982,0.2557781524664291,2.871763427611732,,3.361026092501887,2.871763427611732,aPbO2,aPbO2,aPbO2
"['Ce', 'Mn', 'Nb', 'Pb']",0.1539475653954347,0.0873408354451415,0.2142892732665178,0.152297879892602,0.0862536606201794,0.2158395472975893,0.1379143642970808,0.0800694727283031,0.2469086909883042,2.885730411240924,2.8777182487434265,2.9970101053474374,2.8777182487434265,bad,aPbO2,rut
"['Ge', 'Hf', 'Ir', 'Ru']",0.0628132245509241,0.0653296608613472,0.3270811100851913,0.0622729781132609,0.0596816470020476,0.3191578376092883,0.0524511437790901,0.058381748380149,0.2688103001416442,3.4447505914861676,3.319397195084803,2.882392061056085,2.882392061056085,rut,rut,rut
"['Nb', 'Pt', 'Sn', 'V']",0.072363544219305,0.0646499148429484,0.2923338974182927,0.0726909345054643,0.0686189513881947,0.2929016024613604,0.0623049181432551,0.0662495064158264,0.2602691703485407,3.147821715618906,3.198961989682743,2.9076843750675017,2.9076843750675017,rut,rut,aPbO2
"['Ir', 'Nb', 'Pb', 'Rh']",0.1154563741741323,0.0776287441579445,0.2405959894943565,0.1303849835501724,0.0927482521088283,0.2376753122728923,0.1068514286634653,0.0944469278005421,0.2352888592922335,2.9145276512316287,3.1317529005679297,3.1440768856390906,2.9145276512316287,aPbO2,rut,aPbO2
"['Nb', 'Pt', 'Rh', 'Sn']",0.0593188892285364,0.0580806856550052,0.2740678073339087,,,,,,,2.922614270374449,,,2.922614270374449,aPbO2,aPbO2,aPbO2
